grid_index,run_name,run_dir,selection_score,validation_mse,validation_sun_mse,validation_mars_mse,validation_mars_velocity_mse,validation_mars_curvature_mse,warmup_steps,steps_per_week,interlayer_scale,velocity_weight,curvature_weight,beta_mode,training_seconds,trainable_parameters
102,warmup-40_steps-03_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-2_velocity-1_curvature-1_beta-zero,0.19164148218624177,0.10126260668039322,0.023063356056809425,0.17946186661720276,0.0011986250756308436,1.933648127305787e-05,40,3,2.0,1.0,1.0,zero,369.17573596769944,606
80,warmup-40_steps-05_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-2_velocity-1_curvature-1_beta-zero,0.19171937482678914,0.10141446441411972,0.023260554298758507,0.179568350315094,0.00119767093565315,1.7431515516364016e-05,40,5,2.0,1.0,1.0,zero,492.4705200358294,606
83,warmup-20_steps-03_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-2_velocity-1_curvature-1_beta-zero,0.19184797462366987,0.10132094472646713,0.023062771186232567,0.17957912385463715,0.0012056153500452638,2.1269726858008653e-05,20,3,2.0,1.0,1.0,zero,343.0322064063512,606
54,warmup-20_steps-05_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-2_velocity-1_curvature-1_beta-zero,0.19188064528498217,0.10146085917949677,0.023260382935404778,0.1796613484621048,0.0012029000790789723,1.9029603208764456e-05,20,5,2.0,1.0,1.0,zero,466.34613466076553,606
49,warmup-05_steps-05_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-2_velocity-10_curvature-10_beta-paper,0.1931045523233479,0.10130289196968079,0.023255353793501854,0.17935043573379517,0.0012872508959844708,8.816076297080144e-05,5,5,2.0,10.0,10.0,paper,446.01695049600676,606
16,warmup-05_steps-05_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-2_velocity-10_curvature-10_beta-zero,0.19492841948522255,0.10272005945444107,0.024185413494706154,0.18125469982624054,0.001279902644455433,8.746932144276798e-05,5,5,2.0,10.0,10.0,zero,446.0720250713639,606
78,warmup-05_steps-03_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-03_scale-2_velocity-30_curvature-10_beta-zero,0.19537096635031048,0.10333273559808731,0.025103949010372162,0.18156152963638306,0.001273706671781838,0.0001072369996109046,5,3,2.0,30.0,10.0,zero,323.2198174591176,606
44,warmup-05_steps-03_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-03_scale-2_velocity-10_curvature-10_beta-zero,0.19645416573621333,0.10340149700641632,0.024769041687250137,0.182033970952034,0.0013193958438932896,0.00012262363452464342,5,3,2.0,10.0,10.0,zero,323.3621938289143,606
42,warmup-05_steps-05_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-2_velocity-1_curvature-1_beta-paper,0.19715487852226943,0.10114220529794693,0.023063713684678078,0.17922069132328033,0.0015129436505958438,0.00028047506930306554,5,5,2.0,1.0,1.0,paper,445.5583030646667,606
5,warmup-05_steps-03_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-03_scale-2_velocity-1_curvature-1_beta-paper,0.19752801914000884,0.10177674889564514,0.023755820468068123,0.1797976940870285,0.0015240218490362167,0.0002490106562618166,5,3,2.0,1.0,1.0,paper,323.23460630187765,606
8,warmup-05_steps-01_scale-2_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-2_velocity-30_curvature-10_beta-paper,0.19754609707160853,0.1045331060886383,0.026200613006949425,0.18286560475826263,0.0013223342830315232,0.0001457149483030662,5,1,2.0,30.0,10.0,paper,195.82104588812217,606
25,warmup-05_steps-01_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-2_velocity-10_curvature-10_beta-paper,0.1989043006033171,0.10469340533018112,0.02595393732190132,0.18343287706375122,0.0013729247730225325,0.00017421758093405515,5,1,2.0,10.0,10.0,paper,195.82338504865766,606
23,warmup-05_steps-05_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-2_velocity-1_curvature-1_beta-zero,0.19900087785208598,0.10265500843524933,0.02393815666437149,0.18137185275554657,0.0014973725192248821,0.00026552999042905867,5,5,2.0,1.0,1.0,zero,445.97970537887886,606
